"""""",variable,Model_avg
"""1""",37.0,0.07692307692307693
"""2""",42.0,0.07692307692307693
"""3""",43.0,0.07692307692307693
"""4""",28.0,0.07692307692307693
"""5""",51.0,0.07692307692307693
"""6""",38.0,0.07692307692307693
"""7""",51.0,0.07692307692307693
"""8""",33.0,0.07692307692307693
"""9""",37.0,0.07692307692307693
"""10""",83.0,0.07692307692307693
"""11""",76.0,0.07692307692307693
"""12""",44.0,0.07692307692307693
"""13""",36.0,0.07692307692307693
