"""""",variable,Model_avg
"""1""",0.0,0.1
"""2""",0.0,0.1
"""3""",6.0,0.1
"""4""",0.0,0.1
"""5""",7.0,0.1
"""6""",9.0,0.1
"""7""",8.0,0.1
"""8""",0.0,0.1
"""9""",29.0,0.1
"""10""",23.0,0.1
