"""""",variable,Model_avg
"""1""",97.0,0.14285714285714285
"""2""",38.0,0.14285714285714285
"""3""",38.0,0.14285714285714285
"""4""",60.0,0.14285714285714285
"""5""",37.0,0.14285714285714285
"""6""",34.0,0.14285714285714285
"""7""",28.0,0.14285714285714285
