"""""",variable,Model_avg
"""1""",675.0,0.1
"""2""",760.0,0.1
"""3""",317.0,0.1
"""4""",335.0,0.1
"""5""",708.0,0.1
"""6""",891.0,0.1
"""7""",735.0,0.1
"""8""",820.0,0.1
"""9""",621.0,0.1
"""10""",700.0,0.1
