"""""",variable,Model_avg
"""1""",60.0,0.1
"""2""",47.0,0.1
"""3""",62.0,0.1
"""4""",56.0,0.1
"""5""",57.0,0.1
"""6""",57.0,0.1
"""7""",59.0,0.1
"""8""",58.0,0.1
"""9""",50.0,0.1
"""10""",61.0,0.1
