"""""",variable,Model_avg
"""1""",63.0,0.09090909090909091
"""2""",68.0,0.09090909090909091
"""3""",47.0,0.09090909090909091
"""4""",62.0,0.09090909090909091
"""5""",56.0,0.09090909090909091
"""6""",66.0,0.09090909090909091
"""7""",54.0,0.09090909090909091
"""8""",67.0,0.09090909090909091
"""9""",66.0,0.09090909090909091
"""10""",65.0,0.09090909090909091
"""11""",60.0,0.09090909090909091
