"""""",variable,Model_avg
"""1""",5.0,0.07692307692307693
"""2""",11.0,0.07692307692307693
"""3""",11.0,0.07692307692307693
"""4""",17.0,0.07692307692307693
"""5""",10.0,0.07692307692307693
"""6""",1.0,0.07692307692307693
"""7""",16.0,0.07692307692307693
"""8""",11.0,0.07692307692307693
"""9""",16.0,0.07692307692307693
"""10""",13.0,0.07692307692307693
"""11""",11.0,0.07692307692307693
"""12""",14.0,0.07692307692307693
"""13""",2.0,0.07692307692307693
