"""""",variable,Model_avg
"""1""",27.0,0.1
"""2""",32.0,0.1
"""3""",37.0,0.1
"""4""",51.0,0.1
"""5""",45.0,0.1
"""6""",33.0,0.1
"""7""",20.0,0.1
"""8""",15.0,0.1
"""9""",41.0,0.1
"""10""",37.0,0.1
