"""""",variable,Model_avg
"""1""",2258.0,0.14285714285714285
"""2""",2678.0,0.14285714285714285
"""3""",2405.0,0.14285714285714285
"""4""",3281.0,0.14285714285714285
"""5""",3068.0,0.14285714285714285
"""6""",2319.0,0.14285714285714285
"""7""",2748.0,0.14285714285714285
