"""""",variable,Model_avg
"""1""",616.0,0.1
"""2""",603.0,0.1
"""3""",2619.0,0.1
"""4""",3213.0,0.1
"""5""",2109.0,0.1
"""6""",1638.0,0.1
"""7""",2467.0,0.1
"""8""",2174.0,0.1
"""9""",1705.0,0.1
"""10""",2793.0,0.1
